"title","url","digest","date"
"朋友圈发什么就缺什么","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967865&idx=1&sn=fa31ffbfb0ecf764e19c4493dc1383a4&chksm=73ee408e4499c99838926107cdcbac446e41d9cdd86d57fc7fa5a13c4ea0f0114b8b6a49782a#rd","现如今，越来越多的人，更注重当下生活，更注重内心的满足，而不再频频发朋友圈。但那些虚荣的人，依然喜欢炫耀，各种高调炫富，不懂得低调做人。","2021-09-24"
"不要同三观不合的人相处","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967865&idx=2&sn=2a935d34dae808b2e3ed9a625e1709ea&chksm=73ee408e4499c99888127a247a8ea9474b38ba2d9756a5500cee77580625f05e2d0734228fc4#rd","三观不合的人，志趣不同，见解有异，永远不在一个频率上。和他交谈，如同对牛弹琴，与她聊天，就像鸡同讲。","2021-09-24"
"那条路都不会白走","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967865&idx=3&sn=5bbd8370463d9810a61bdc6bd15acd06&chksm=73ee408e4499c99822cb7909c14007b47a8b4b976b3ce2e0e59a763c42585860253bd8a99f30#rd","世界上有一条很长很美的路，叫做梦想;还有一堵很高很硬的墙，叫做现实;翻越那堵墙，叫做坚持;推倒那堵墙，叫做突","2021-09-24"
"和而不同你懂吗","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967865&idx=4&sn=8b69aafb6adcddf2da38963a3c3a48f7&chksm=73ee408e4499c998b6871bedf02e01925827eecce994c06c771ed6b7a5a6e712922abd3629d8#rd","​想要建立长久的关系，维持亲密的感情，做好真实的自己，其实是一场漫长的修行。尊重别人，是为人处世必修的课程；尊重自己，是坚守灵魂深处的自由","2021-09-24"
"幸福指数","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967842&idx=1&sn=1be7744978e50058c94260ea68f0d2e0&chksm=73ee40954499c983d773b04c42f1d0591f7d95c1f442934be12eb959fd0b03e32f007fcdd41f#rd","倘若我们能学会把幸福底线画得低一点，实在一点，离自己近一点，稍许努力便可实现，这样，你便每天都能感到幸福，幸福就在身旁。​","2021-09-23"
"雅量获得更多幸福生活","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967842&idx=2&sn=b4f8c253c44a784b23b8e5218a6e7ca9&chksm=73ee40954499c983d46aec585fa7ebf0d405745c5b1726f5cfd10cd6233cfa10cc665da1c68a#rd","遗忘那些尘世的云烟，抖落那些人间的恩怨，好山好水好人生，把山水做知音，人间哪里还有烦恼？拥有宽容，我们将一生收获笑容。","2021-09-23"
"这样的夫妻生活真好","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967842&idx=3&sn=cb642a70550ffc30759efd5e90bd1a9b&chksm=73ee40954499c983148ad0ce62e35a3034380df7495f3790b72c1ff67bf1b4d4e8d565239dca#rd","夫妻怄气是一把双刃剑，好夫妻何必非要争高低，退一步海阔天空。","2021-09-23"
"妻子的漂亮取决于丈夫的性格","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967842&idx=4&sn=b6812a0fcf75ce1edf00785b62f1f620&chksm=73ee40954499c983b3e731d5e1a0e13470697fe54baae4362a91dd1fd159cce6d2c0017bb725#rd","如果男人脾气暴燥，整日不是狂风暴雨，就是“零下一度”，女人一定憔悴无光；如果男人修养高，日照朗朗，和风细雨，女人一定被滋润得面若桃花，热情奔放。","2021-09-23"
"奋斗","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967813&idx=4&sn=c3489ff91c4fc49b8068387b45cd3e0e&chksm=73ee40b24499c9a44fad736774042f9d99b0bcf6a8f7e8a6d4638827ed8882242bb08227898b#rd","无法控制的事情，就控制好自己；无法左右的事情，就让心态平衡。    无论这个世界对你怎样，都请你一如既往的努力、坚强、充满希望，人生如圆，终点亦是起点。","2021-09-22"
"远离这种人","http://mp.weixin.qq.com/s?__biz=MzI4NTA4OTMwNA==&mid=501967813&idx=3&sn=1ac760ed2359074d915146efa57ad8cb&chksm=73ee40b24499c9a413ff823c2a90eb1c1c1f9bc476bec36c2213bc2240f97e8b4f73b831ac09#rd","董卿说：不管你是谁 , 请远离这两个人，否则这辈子你就完了!莎士比亚也有说：No matter who yo","2021-09-22"
